ano_nacimiento,nombre,fecha_creacion,total_obras,autor_id
,,,25,605
,,2008-04-29T15:03:11.581851,10,606
1877,Hermann Hesse,2008-04-01T03:28:50.625462,1398,607
1981,Maggie Stiefvater,2008-09-26T13:58:10.764474,36,608
1954,Christopher Pike,2008-04-01T03:28:50.625462,161,609
1940,Thomas Harris,2008-04-01T03:28:50.625462,15,610
,,2008-04-29T13:35:46.876380,152,611
,,,17,612
1890,Verna Cook Shipway,,10,613
1946,F. Isabel Campoy,2008-04-01T03:28:50.625462,188,614
,Stephanie Perkins,2010-02-16T21:51:02.585480,40,615
,Tijan,2019-07-19T22:33:46.686676,82,616
1948,Debbie Macomber,2008-04-01T03:28:50.625462,923,617
1954,Lee Child,2008-04-01T03:28:50.625462,142,618
,,2016-10-27T21:56:49.391319,11,619
,Stephanie Perkins,2010-02-16T21:51:02.585480,40,620
,,,103,621
1928,"Angelou, Maya.",2008-04-01T03:28:50.625462,229,622
1965,J. K. Rowling,2008-04-01T03:28:50.625462,411,623
1973,Natsuki Takaya,2008-04-01T03:28:50.625462,94,624
1920,Isaac Asimov,2008-04-01T03:28:50.625462,1456,625
1933,Fern Michaels,2008-04-01T03:28:50.625462,835,626
,Lisa Gardner,2008-04-01T03:28:50.625462,289,627
,,2008-04-30T09:38:13.731961,9,628
1977,,2008-04-29T15:03:11.581851,120,629
1958,Dacre Stoker,2009-07-27T15:12:52.322952,12,630
1964,Dan Brown,2008-04-01T03:28:50.625462,46,631
,Tsugumi Ōba,2008-04-29T15:03:11.581851,112,632
,,2016-10-14T06:08:17.075528,9,633
1724,Immanuel Kant,2008-04-01T03:28:50.625462,2053,634
1975,Markus Zusak,2008-04-01T03:28:50.625462,12,635
1950,"Robertson, Eleanor Marie",2008-04-01T03:28:50.625462,2202,636
1971,Faith Salie,2019-07-19T12:32:29.926730,1,637
1977,John Green,2008-09-24T12:09:56.469720,32,638
1947,A. J. Bacevich,2008-04-01T03:28:50.625462,30,639
,,2008-04-29T15:03:11.581851,58,640
1948,Debbie Macomber,2008-04-01T03:28:50.625462,923,641
1948,George R. R. Martin,2008-04-01T03:28:50.625462,372,642
1948,George R. R. Martin,2008-04-01T03:28:50.625462,372,643
1948,George R. R. Martin,2008-04-01T03:28:50.625462,372,644
,,,,645
1947,"King, Stephen",2008-04-01T03:28:50.625462,611,646
,,,,647
,Jaci Burtom,2008-04-29T13:35:46.876380,125,648
,,,,649
,,,,650
1962,Suzanne Collins,2008-04-01T03:28:50.625462,34,651
1859,"Doyle, Arthur Conan",2008-04-01T03:28:50.625462,9188,652
,Pamela Haag,,10,653
1963,Eric Weiner,2010-05-05T09:03:56.076535,11,654
,,,,655
,,,,656
1968,Tom Holland,2008-04-01T03:28:50.625462,137,657
1946,Mildred Grieveson,2008-04-30T09:38:13.731961,446,658
,,,,659
,,,,660
,,2019-07-17T14:54:57.760365,10,661
,,,,662
,,2017-09-14T19:11:29.138654,3,663
,Jerry Hopkins,,68,664
,,,,665
1947,"King, Stephen",2008-04-01T03:28:50.625462,611,666
1962,Suzanne Collins,2008-04-01T03:28:50.625462,34,667
,,,,668
1832,Louisa May Alcott,2008-04-01T03:28:50.625462,2231,669
1947,"King, Stephen",2008-04-01T03:28:50.625462,611,670
,,,9,671
1965,J. K. Rowling,2008-04-01T03:28:50.625462,411,672
1965,J. K. Rowling,2008-04-01T03:28:50.625462,411,673
1965,J. K. Rowling,2008-04-01T03:28:50.625462,411,674
1965,J. K. Rowling,2008-04-01T03:28:50.625462,411,675
1900,"Mitchell, Margaret",2008-04-01T03:28:50.625462,24,676
1949,Christopher Hitchens,2008-04-01T03:28:50.625462,60,677
,Tracy Chevalier,2008-04-01T03:28:50.625462,131,678
1973,Natsuki Takaya,2008-04-01T03:28:50.625462,94,679
1955,Linwood Barclay,2008-04-01T03:28:50.625462,72,680
1969,J. R. Ward,2008-04-01T03:28:50.625462,292,681
1969,Madeleine Wickham,2008-04-01T03:28:50.625462,265,682
,Jaci Burtom,2008-04-29T13:35:46.876380,125,683
1694,Voltaire,2008-04-01T03:28:50.625462,4092,684
,,,,685
1905,Ayn Rand,2008-04-01T03:28:50.625462,211,686
1903,George Orwell,2008-04-01T03:28:50.625462,690,687
1965,Nicholas Sparks,2008-04-01T03:28:50.625462,529,688
1948,Eckhart Tolle,2008-04-01T03:28:50.625462,172,689
,,,,690
1947,"King, Stephen",2008-04-01T03:28:50.625462,611,691
1948,"Gibson, William",2008-04-01T03:28:50.625462,46,692
1818,"Brontë, Emily",2008-04-01T03:28:50.625462,398,693
1972,Max Brooks,2008-04-01T03:28:50.625462,32,694
1968,Cheryl Strayed,2008-04-01T03:28:50.625462,16,695
1964,Maria Semple,2008-09-26T00:26:05.047137,10,696
1956,David Sedaris,2008-04-01T03:28:50.625462,37,697
,Benjamin Ginsberg,,118,698
1950,Karen Joy Fowler,2008-04-01T03:28:50.625462,35,699
,,2013-12-20T20:58:28.466003,36,700
1952,Diana Gabaldon,2008-04-01T03:28:50.625462,247,701
1965,J. K. Rowling,2008-04-01T03:28:50.625462,411,702
,Anna Thomas,,15,703
1978,Ruth Soukup,2019-07-18T18:59:41.584320,3,704
1954,Jon Krakauer,2008-04-01T03:28:50.625462,21,705
1972,David Levithan,2008-04-01T03:28:50.625462,110,706
1973,Stephenie Meyer,2008-04-01T03:28:50.625462,152,707
,,,,708
,,2016-08-28T09:22:12.197028,5,709
,,2014-03-13T12:32:11.842829,11,710
1883,Napoleon Hill,2008-04-01T03:28:50.625462,437,711
1979,"Brown, Peter",2008-04-01T03:28:50.625462,25,712
1975,,2008-04-30T08:14:56.482104,362,713
1969,Madeleine Wickham,2008-04-01T03:28:50.625462,265,714
1963,Bill Niffenegger,2008-04-30T08:14:56.482104,76,715
1963,Malcolm Gladwell,2008-04-01T03:28:50.625462,80,716
,,2016-10-14T18:22:43.321401,12,717
1947,"King, Stephen",2008-04-01T03:28:50.625462,611,718
,Deb Perelman,2012-04-13T06:34:53.149414,5,719
1965,J. K. Rowling,2008-04-01T03:28:50.625462,411,720
1960,Neil Gaiman,2008-04-01T03:28:50.625462,503,721
1983,,2017-01-20T23:14:40.743539,52,722
,,,,723
1940,Edmund Morris,2008-04-01T03:28:50.625462,31,724
1952,Douglas Adams,2008-04-01T03:28:50.625462,86,725
,,,,726
1951,Anita Diamant,2008-04-01T03:28:50.625462,67,727
1954,"Warren, Richard",2008-04-29T15:03:11.581851,144,728
,Scarlett Cole,2019-05-24T03:56:48.061324,19,729
1854,Oscar Wilde,2008-04-01T03:28:50.625462,5544,730
,,,34,731
,,2021-04-03T01:48:39.505817,8,732
,,,,733
,,,,734
,Emma McLaughlin,2008-04-01T03:28:50.625462,60,735
,Francis Pope,,8,736
1972,James Dashner,2008-04-01T03:28:50.625462,122,737
1972,David Levithan,2008-04-01T03:28:50.625462,110,738
1908,Louis L'Amour,2008-04-01T03:28:50.625462,523,739
,,2008-04-29T15:03:11.581851,14,740
,,,17,741
,Kate Hattemer,2018-05-15T05:04:07.153356,5,742
1953,"Deutsch, David",2008-04-01T03:28:50.625462,5,743
1966,Liane Moriarty,2008-04-01T03:28:50.625462,74,744
,,,,745
,,,,746
1934,Mary Ann Shaffer,2008-04-30T09:38:13.731961,1,747
1963,Donna Tartt,2008-04-01T03:28:50.625462,8,748
1937,Lois Lowry,2008-04-01T03:28:50.625462,156,749
,,,,750
1954,Stieg Larsson,2008-04-01T03:28:50.625462,117,751
1966,Denise Mina,2008-04-01T03:28:50.625462,54,752
1952,Cinda Williams Chima,2008-04-01T03:28:50.625462,48,753
1967,Sam Harris,2008-04-01T03:28:50.625462,27,754
1963,BRIAN GREENE,2008-04-29T13:35:46.876380,28,755
1953,Sam Kean,2009-11-23T16:46:45.074530,14,756
1977,Lauren Weisberger,2008-04-01T03:28:50.625462,97,757
1934,Carl Sagan,2008-04-01T03:28:50.625462,74,758
1970,,2015-05-06T16:12:44.797840,29,759
1964,Dan Brown,2008-04-01T03:28:50.625462,46,760
1965,J. K. Rowling,2008-04-01T03:28:50.625462,411,761
1832,"Carroll, Lewis",2008-04-01T03:28:50.625462,2654,762
1928,Anne Sexton,2008-04-01T03:28:50.625462,78,763
1919,J. D. Salinger,2008-04-01T03:28:50.625462,41,764
1904,Ted Geisel,2008-04-29T13:35:46.876380,616,765
1952,Lee Strobel,2008-04-01T03:28:50.625462,221,766
1975,Markus Zusak,2008-04-01T03:28:50.625462,12,767
,Bill Simmons,2008-04-01T03:28:50.625462,12,768
1960,"Lewis, Michael",2008-04-01T03:28:50.625462,35,769
1930,"Bloom, Harold.",2008-04-01T03:28:50.625462,2329,770
,Alice Waters,,61,771
,Chad Harbach,2011-07-26T18:15:23.772447,15,772
1918,Richard Phillips Feynman,2008-04-01T03:28:50.625462,236,773
,,,,774
,,2021-12-30T22:30:50.210855,2,775
,Emily Giffin,2008-04-30T09:38:13.731961,89,776
,Emily Giffin,2008-04-30T09:38:13.731961,89,777
1873,Ford Madox Ford,2008-04-01T03:28:50.625462,223,778
1969,Madeleine Wickham,2008-04-01T03:28:50.625462,265,779
,Sarah Thornton,,21,780
1956,Carlo Rovelli,2008-10-16T14:34:00.758718,49,781
1804,Nathaniel Hawthorne,2008-04-01T03:28:50.625462,1340,782
1961,Tatiana de Rosnay,2008-04-01T03:28:50.625462,75,783
1976,Brian K. Vaughan,2008-04-01T03:28:50.625462,299,784
1965,Augusten Burroughs,2008-04-01T03:28:50.625462,58,785
1955,John Grisham,2008-04-01T03:28:50.625462,680,786
,,2017-08-05T03:43:54.428047,6,787
,,2008-04-29T15:03:11.581851,8,788
,,2016-10-14T06:29:17.019595,18,789
1990,,2015-12-21T15:36:35.226455,17,790
1972,Ernest Cline,2011-07-26T18:18:09.488500,13,791
1968,Susan Cain,2012-02-01T07:54:26.425583,8,792
1984,Marie Lu,2011-12-29T09:26:58.342703,35,793
1969,Marjane Satrapi,2008-04-01T03:28:50.625462,21,794
1959,,2008-04-29T13:35:46.876380,33,795
1963,Malcolm Gladwell,2008-04-01T03:28:50.625462,80,796
1968,Kirstin Cronn-Mills,2008-11-15T16:38:53.350774,8,797
,,2019-03-07T03:59:28.682036,3,798
1943,Janet Evanovich,2008-04-01T03:28:50.625462,254,799
1951,"Bryson, Bill.",2008-04-01T03:28:50.625462,75,800
1947,"King, Stephen",2008-04-01T03:28:50.625462,611,801
1951,"Bryson, Bill.",2008-04-01T03:28:50.625462,75,802
1914,"Burroughs, William S.",2008-04-01T03:28:50.625462,341,803
1988,Pierce Brown,2019-08-24T08:25:40.307578,19,804
,Christy Wilson Beam,2019-07-19T12:36:49.871241,4,805
1964,,2008-04-29T13:35:46.876380,92,806
1956,David Sedaris,2008-04-01T03:28:50.625462,37,807
1947,Paulo Coelho,2008-04-01T03:28:50.625462,766,808
1965,Augusten Burroughs,2008-04-01T03:28:50.625462,58,809
1928,Robert M. Pirsig,2008-04-01T03:28:50.625462,4,810
1974,Hanya Yanagihara,2021-07-20T09:57:48.941248,8,811
,Diana Abu-Jaber,,16,812
1951,Kate Atkinson,2008-04-01T03:28:50.625462,142,813
1967,Sam Harris,2008-04-01T03:28:50.625462,27,814
1979,Jennie Goodrich,2008-04-01T03:28:50.625462,4,815
1783,"Irving, Washington",2008-04-01T03:28:50.625462,1940,816
1969,Sheryl Sandberg,2013-09-16T19:12:42.744048,11,817
1940,Thomas Harris,2008-04-01T03:28:50.625462,15,818
1949,Bobbi Smith,2008-04-01T03:28:50.625462,62,819
1942,Michael Crichton,2008-04-01T03:28:50.625462,152,820
1948,Julia Cameron,2008-04-01T03:28:50.625462,92,821
1979,,2008-04-30T08:14:56.482104,3,822
1954,Jon Krakauer,2008-04-01T03:28:50.625462,21,823
1265,Dante Alighieri,2008-04-01T03:28:50.625462,2293,824
1954,Erik Larson,2008-04-01T03:28:50.625462,12,825
,Terri Blackstock,2012-07-25T13:52:48.896006,91,826
,,,,827
1997,Malala Yousafzai,2014-02-12T11:48:29.310320,24,828
,Lisa Lillien,,25,829
1951,Richard Conniff,2008-04-01T03:28:50.625462,21,830
1966,Mark Z. Danielewski,2008-04-01T03:28:50.625462,23,831
,,2017-03-08T16:26:53.265532,29,832
1956,David Sedaris,2008-04-01T03:28:50.625462,37,833
,,2016-10-14T12:30:30.658799,9,834
1904,Ted Geisel,2008-04-29T13:35:46.876380,616,835
1977,John Green,2008-09-24T12:09:56.469720,32,836
1933,Oliver W. Sacks,2008-04-01T03:28:50.625462,46,837
1971,Gillian Flynn,2008-04-01T03:28:50.625462,43,838
1988,Pierce Brown,2019-08-24T08:25:40.307578,19,839
,,2017-01-12T16:59:24.073994,15,840
1973,Natsuki Takaya,2008-04-01T03:28:50.625462,94,841
1954,H. G. Bissinger,2008-04-01T03:28:50.625462,18,842
,Christine Feehan,2008-04-01T03:28:50.625462,196,843
1963,"James, E. L.",2012-03-15T23:07:06.804942,29,844
1959,Mike Carey,2008-04-01T03:28:50.625462,231,845
1944,"Sandford, John",2008-04-01T03:28:50.625462,164,846
1983,Christopher Paolini,2008-04-01T03:28:50.625462,25,847
1973,Stephenie Meyer,2008-04-01T03:28:50.625462,152,848
1920,"Herbert, Frank.",2008-04-01T03:28:50.625462,273,849
,,,,850
,,,,851
,,,,852
,,,,853
1963,Malcolm Gladwell,2008-04-01T03:28:50.625462,80,854
,,,,855
,,,,856
1973,,2008-04-30T09:38:13.731961,22,857
,Melanie Conklin,2019-05-24T07:57:55.640745,5,858
,,,,859
1856,Sigmund Freud,2008-04-01T03:28:50.625462,2034,860
,,,,861
1968,Catherine Newman,2008-10-07T18:18:40.292944,5,862
,,,,863
,,,,864
,,,,865
,,,,866
,,,,867
1963,Malcolm Gladwell,2008-04-01T03:28:50.625462,80,868
1960,,2011-02-13T19:58:55.874206,7,869
1984,Yana Toboso,2010-06-14T18:31:16.166451,165,870
1966,Liane Moriarty,2008-04-01T03:28:50.625462,74,871
,,,,872
,Susan Mallery,2008-04-01T03:28:50.625462,778,873
1939,Seamus Heaney,2008-04-01T03:28:50.625462,393,874
,Kami Garcia,2009-01-07T17:54:54.253197,121,875
1979,Svetlana Chmakova,2009-02-18T07:25:57.857882,7,876
1930,Frank McCourt,2008-04-01T03:28:50.625462,85,877
1972,David Levithan,2008-04-01T03:28:50.625462,110,878
,,,,879
1938,Nancy Garden,2008-04-01T03:28:50.625462,45,880
,,,,881
1951,"Bryson, Bill.",2008-04-01T03:28:50.625462,75,882
1962,Jennifer Egan,2008-04-01T03:28:50.625462,14,883
,,,,884
1970,Dave Eggers,2008-04-01T03:28:50.625462,210,885
,Christina G. Hibbert,2019-07-18T19:43:06.738714,2,886
,,2024-09-22T17:35:49.671401,7,887
,,,,888
1946,Julian Barnes,2008-04-01T03:28:50.625462,344,889
1960,Neil Gaiman,2008-04-01T03:28:50.625462,503,890
1969,Alain De Botton,2008-04-01T03:28:50.625462,230,891
,Julie Burchill,,34,892
,,,,893
,,,,894
,,,,895
1974,Hanya Yanagihara,2021-07-20T09:57:48.941248,8,896
,,2022-12-03T21:52:43.710706,3,897
,,,,898
1990,Zoe Sugg,2016-10-19T18:46:46.765912,6,899
1973,Natsuki Takaya,2008-04-01T03:28:50.625462,94,900
,,,,901
1986,Sarah J. Maas,2012-04-25T09:48:38.192850,58,902
,,,,903
,,,,904
,,,,905
1926,John Berger,2008-04-29T15:03:11.581851,379,906
,,2008-04-29T15:03:11.581851,86,907
,Chloe Neill,2008-12-12T08:00:32.993147,89,908
,,2022-11-29T03:36:00.004119,1,909
1902,John Steinbeck,2008-04-01T03:28:50.625462,309,910
,,,,911
,,2020-08-23T21:15:01.906251,17,912
,,,,913
1975,,2008-04-30T08:14:56.482104,362,914
,,,,915
1569,Kyun Hŏ,2008-04-01T03:28:50.625462,36,916
,A. S. A. Harrison,,8,917
,Marjorie Wallace,,6,918
,,,,919
,,2019-10-10T19:35:33.674140,26,920
1960,Neil Gaiman,2008-04-01T03:28:50.625462,503,921
1978,Scott Lynch,2008-04-29T15:03:11.581851,48,922
,,,,923
1948,Alexander McCall Smith,2008-04-01T03:28:50.625462,255,924
,,,,925
,,,,926
,,,,927
,,2016-10-14T09:09:56.545293,3,928
,,2018-06-09T13:43:12.906034,11,929
,,,,930
,Homer.,2008-04-01T03:28:50.625462,1927,931
,,,,932
,Jesse Andrews,2011-10-23T19:35:55.618398,15,933
,,,,934
,Robert Bryndza,2019-05-24T01:14:39.901455,58,935
,,2024-02-17T05:54:45.963376,1,936
,Stephen Budiansky,2008-04-01T03:28:50.625462,43,937
,,,,938
,,,,939
,,,,940
,,2021-04-25T20:15:15.351840,2,941
,Sarah Alexander,,8,942
,Jaci Burtom,2008-04-29T13:35:46.876380,125,943
,,2024-09-30T01:13:22.275159,2,944
1902,Carolyn Keene,2008-04-01T03:28:50.625462,863,945
,,2022-06-10T02:06:15.919229,1,946
1988,Tahereh Mafi,2011-07-30T12:22:39.754442,60,947
1954,Karen Robards,2008-04-01T03:28:50.625462,253,948
,,,,949
,Sharon Kendrick,2008-04-01T03:28:50.625462,980,950
1775,"Austen, Jane",2008-04-01T03:28:50.625462,2215,951
1976,Brian K. Vaughan,2008-04-01T03:28:50.625462,299,952
1975,Brandon Sanderson,2008-04-01T03:28:50.625462,198,953
1979,Kurtis J. Wiebe,2019-05-24T01:21:50.108831,7,954
1608,"Milton, John",2008-04-01T03:28:50.625462,6257,955
1976,Brian K. Vaughan,2008-04-01T03:28:50.625462,299,956
,,,,957
1964,Dan Brown,2008-04-01T03:28:50.625462,46,958
1950,William R. Forstchen,2008-04-01T03:28:50.625462,75,959
1922,Jack Kerouac,2008-04-01T03:28:50.625462,255,960
,Eric Spitznagel,,11,961
1910,Gonzalo Torrente Ballester,2008-04-01T03:28:50.625462,124,962
1902,John Steinbeck,2008-04-01T03:28:50.625462,309,963
1938,"Niven, Larry.",2008-04-01T03:28:50.625462,243,964
,,2019-12-11T07:16:47.738325,13,965
1982,G. Willow Wilson,2008-04-30T20:50:18.033121,89,966
,,,,967
1916,"Dahl, Roald.",2008-04-01T03:28:50.625462,751,968
,Simone St. James,2011-10-22T00:26:47.732728,16,969
,,,,970
1953,Tess Gerritsen,2008-04-01T03:28:50.625462,371,971
,,2016-07-21T19:56:45.233851,9,972
1816,"Brontë, Charlotte",2008-04-01T03:28:50.625462,1136,973
,Stacy Horn,,8,974
,,,,975
,,,,976
,,,,977
1976,John Allison,2019-05-13T09:35:42.997666,14,978
,,,,979
1797,Mary Wollstonecraft Shelley,2008-04-01T03:28:50.625462,691,980
,,,,981
,,2019-12-16T03:17:06.938574,5,982
,,,,983
1969,Elizabeth Gilbert,2008-04-01T03:28:50.625462,50,984
,,2021-10-05T04:26:31.507141,58,985
,,2011-09-21T14:30:49.020154,5,986
,,,,987
,,,,988
,Susan Peirce Thompson,2019-07-19T21:22:49.373549,8,989
1958,Helen Fielding,2008-04-01T03:28:50.625462,24,990
1956,"Alexander, Caroline",2008-04-01T03:28:50.625462,9,991
,Marcia Clark,,28,992
1977,,2008-04-29T15:03:11.581851,419,993
1844,Friedrich Nietzsche,2008-04-01T03:28:50.625462,2850,994
1832,"Carroll, Lewis",2008-04-01T03:28:50.625462,2654,995
,,,,996
,,,,997
1947,"Patterson, James",2008-04-01T03:28:50.625462,743,998
1994,Alice Oseman,2019-07-19T22:48:02.648074,24,999
